ISO_Code;UN_Reg;UN_SubReg;country_name_not_used;Ctry_Land;IC_T;IC_T_Src;IC_T_Cat;IC_F;IC_F_Src;IC_F_Cat;IC_NF;IC_NF_Src;IC_NF_Cat;IC_Notes;TIME_PERIOD;ATTR_ENDPOINT
KEN;Africa;Eastern Africa;Kenya;57276323.03;0.6;(Liz Alden Wily, 2015);40.1-60%;60.0;(Liz Alden Wily, 2015);40.1-60%;0;(Liz Alden Wily, 2015);0;"As the official figure for community lands is used here, figures for TPA, urban area and private lands are not used. Note however that the total figure of TPA has been reduced by 2.2 million ha to cover mainly community conservancies.<br>Government of Kenya states 60% as the official community land area, including mainly trust lands and 549 group ranches at 4.3 million ha. Due to terms of the  Constitution 2010 & Land Act, 2012, customary landholding is deemed fairly secure in the community land sector although until each community obtains formal entitlement their lands remain vested in county councils as trustees.<br>The official figure for private lands (rural) is low at 16% compared to previous official figures (usually 25-28% of country area) but is used here. Public lands vested in central or local governments and including TPA are officially given as 24%. <br>Latest source of official figures: pers. comm; Fibian Lukalo, National Land Commission, citing Land Administration Directorate figures, Sept 2015.<br>Refer elsewhere on site for review of law against indicators (Liz Alden Wily).";2017;
KIR;Oceania;Micronesia;Kiribati;90968.7;0.45;(Fabrice Dubertret, based on AusAID, 2008);40.1-60%;45.0;(Australian Agency for International Development, 2008);40.1-60%;0;(Fabrice Dubertret, based on AusAID, 2008);0;According to a report from the Australian Agency for International Development, more than 45% of the country is customary land at the national level, the rest being public land (50% ) and freehold lands (less than 5%). However, setting aside Christmas island which is mostly public land and accounts for nearly half the land area of Kiribati, the 95% of the rest of Kiribati continues to be under indigenous ownership. <br>Source : Australian Agency for International Development, 2008, Making Land Work. Canberra, A.C.T.: AusAID. Available at : http://www2.kobe-u.ac.jp/~alexroni/TR2014%20readings/2014_7/MakingLandWork_VolumeOne_Bookmarked.pdf<br><br>As customary tenure is extensively protected in the constitution or by law, we may consider that all customary lands are formally recognized in the country.;2017;
KO-;Europe;Southern Europe;Kosovo (disputred territory);1088330.9;No data;;No data;;;No data;No data;;No data;;2017;
KWT;Asia;Western Asia;Kuwait;1740640.396;No data;;No data;;;No data;No data;;No data;;2017;
KGZ;Asia;Central Asia;Kyrgyzstan;19219308.0;No data;;No data;40.1;(RRI, 2015);20.1-40%;No data;;No data;In Kyrgystan, Pastures allocated to local governments and managed by Pasture User Associations and Pasture in State Land Reserves are lands designated to Indigenous peoples and local communities. They cover a total of 7.69 Mha (40.07% of the  country land area).  <br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf;2017;
LAO;Asia;South-Eastern Asia;Laos;22894203.655;No data;;No data;0.1;(RRI, 2015);0.1-5%;No data;;No data;0.10% of the  country land area is designated to Indigenous peoples and communities as Temporary Land Use Certificates, Permanent Titles for Collective Land, or Village Production Forests (covering 0.02 Mha).<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf;2017;
LVA;Europe;Northern Europe;Latvia;6336790.0;No data;;No data;;;No data;No data;;No data;Common land in Latvia existed in the 1990s (common land of local municipalities), but since 2000 all such land is leased out individually to several agricultural holdings, and the Eurostat surveys do not provide their area in a separate category. Still the provided information is not enough to declare that common lands no longer exist in the country.<br>Sources: Eurostat, 2013. Farm structure - Latvia National Methodology report. Available at : http://ec.europa.eu/eurostat/cache/metadata/EN/ef_esqrs_lv.htm;2017;
LBN;Asia;Western Asia;Lebanon;1041734.947;No data;;No data;;;No data;No data;;No data;;2017;
LSO;Africa;Southern Africa;Lesotho;3045227.03;76.8%;(Liz Alden Wily, 2015);60.1-80%;76.8;(Liz Alden Wily, 2015);60.1-80%;0;(Liz Alden Wily, 2015);0;At least three-quarters of Lesotho is customary lands and this figure is conservative, based on removal of TPA, urban and a generous estimate of 2% of lands possibly under private statutory lease known to exist in urban, peri-urban and some rural areas, and additional subtraction of 1% country area to cover rural public service lands (dam infrastructure etc.).<br>The law upholds customary rights as lawful occupancy and use (the entire country is vested in the King/State) and are impliedly protected with/without formalization (although there is some ambivalence on this in respect of off-farm communal grazing lands, the main land resource by area).<br>Note that most titling so far has been confined to regularization of urban and peri-urban occupancy through issue of leaseholds.<br>Refer elsewhere on site for review of laws against indicators (Liz Alden Wily).;2017;
LBR;Africa;Western Africa;Liberia;9607897.8;0.6;(Liz Alden Wily, 2015);40.1-60%;31.7;(Liz Alden Wily, 2015);20.1-40%;28.3%;(Liz Alden Wily, 2015);20.1-40%;Note overlap of private and community lands as significant area of community land is under registered entitlement to communities.<br>No official data on area of community lands but estimate of 60% used here, based on area of Liberia deemed as hinterland, excluding the residual littoral 'sold' earlier on to colonial societies bringing settlers from America from 1820 (Liz Alden Wily, 2007, So Who Owns the Forest? An investigation into forest ownership and customary land rights in Liberia, FERN (UK & Brussels) & SDI, Monrovia).<br>No official figures for percent of country under registered title, now the only means to secure tenure (until the drafted Land Rights Law is enacted, anticipated before end of 2015). An estimate of 50% is used here, notably including titles issued from 1949 to communities on request, and today include 14 Aborigines Land Grants at 950,339 ha and 32 Public Land Sale Deeds at 1,816, 357 ha as retrieved by the Forest Development Administration (Alden Wily, 2007), and more recent retrieval of old deeds to communities amounting to 1,766,030 ha as reported by Paul de Wit and Caleb Stevens, 2014, 100 Years of Community Land Rights in Liberia: Lessons Learned for the Future, Paper presented at the World Bank conference on land and poverty, March 2014).<br>This combined area of 3,032,946 ha represents 63.4% of the estimated titled rural lands of Liberia. Areas covered by community deeds overlap with national forest areas.;2017;
LBY;Africa;Northern Africa;Libya;161710645.3;97.9%;(Liz Alden Wily, 2015);80.1-100%;0;(Liz Alden Wily, 2015);0;97.9%;(Liz Alden Wily, 2015);80.1-100%;Limited data.<br>Since the 1986 land reform undertaken by Colonel Gaddafi and which inter alia abolished clan tenure operating throughout all but urban areas of Libya, there has been no regime for recognizing community lands.;2017;
LIE;Europe;Western Europe;Liechtenstein;16159.7;No data;;No data;;;No data;No data;;No data;;2017;
LTU;Europe;Northern Europe;Lithuania;6372157.11;No data;;No data;;;No data;No data;;No data;According to the Eurostat Farm Structure Surveys, common lands does not exist as part of the utilised agricultural area in Lituania. However, the provided information is not enough to declare that common lands do not exist at all in the country.<br>Sources : Eurostat, 2013. Farm structure - Lituania National Methodology report. Available at : http://ec.europa.eu/eurostat/cache/metadata/EN/ef_esqrs_lt.htm;2017;
LUX;Europe;Western Europe;Luxembourg;255350.531;No data;;No data;;;No data;No data;;No data;According to the Eurostat Farm Structure Surveys, common land existed in Luxembourg in the Middle Ages, but has since disappeared due to a specific evolution of agricultural laws..<br>Sources : Eurostat, 2013. Farm structure - Luxembourg National Methodology report. Available at : http://ec.europa.eu/eurostat/cache/metadata/EN/ef_esqrs_lu.htm;2017;
MAC;Asia;Eastern Asia;Macao (China);2569.601;No data;;No data;;;No data;No data;;No data;;2017;
MKD;Europe;Southern Europe;Macedonia;2429302.8;No data;;No data;;;No data;No data;;No data;;2017;
MDG;Africa;Eastern Africa;Madagascar;58960945.7;0.76;(Liz Alden Wily, 2015);60.1-80%;11.9;(Liz Alden Wily, 2015);5.1-20%;64.1%;(Liz Alden Wily, 2015);60.1-80%;Estimate of community lands derives from excluding Terrestrial Protected Areas, urban lands, estimate of private titled lands, and standard subtraction of 1% country area to cover rural public service areas. To limit double-counting, the total area of TPA is reduced by 0.7% to exclude protected areas recorded by WPDA 2013 as under community jurisdiction.<br>Total estimated community lands area includes farmlands and off-farm areas, as arrived at through exclusion of TPA, urban lands and estimate of privately titled rural lands. However, while the law (2005, 2006) recognises customary rights as property interests this does not extend to off-farm lands (forests, pastures, etc.).<br>Formalization based on customary rights stands at around 120,000 certificates issued for homesteads by 2015.  Area roughly estimated as 72,000 ha on basis of mean parcel size certificated of 0.6 ha - 0.8 ha, with potential homestead areas roughly estimated as 7 million ha.<br>This area is assessed as 'fairly secure' in light of legal equity granted customary rights, but not so for the estimated total community land area inclusive of forests and rangelands [Key source: Andre Teyssier pers comm. Sept 2015].;2017;
MWI;Africa;Eastern Africa;Malawi;9467610.0;0.65;(Liz Alden Wily, 2015);60.1-80%;65.0;(Liz Alden Wily, 2015);60.1-80%;0;(Liz Alden Wily, 2015);0;"The official figure for community lands in the form of recognized customary lands wherein communities may lawfully occupy and use lands is used here (65%).<br>However, the official figure of 13% for private land (rural) as registered is increased to 17% to account for government estate lands. There has also been significant alienation from the community lands sector which is unlikely to be reflected in the official figure of 65% of all lands under customary tenure.<br>Key sources include:<br>Paul Jere, pers. comm., Sept 2015; Paul Jere, August 2013. Issues and Options for Improved Land Sector Governance in Malawi. Results of the Application of the Land Governance Assessment Framework.<br>The World Bank; Pauline Peters, 2013. Land appropriation, surplus people and a battle over visions of agrarian futures in Africa, The Journal of Peasant Studies, Vol. 40 No. 3, 537-562.";2017;
MYS;Asia;South-Eastern Asia;Malaysia;32894644.0;No data;;No data;;;No data;No data;;No data;No data could be found in the literature regarding the area of indigenous and community lands in the country.<br>However, Indigenous Peoples are estimated to represent 12% of the 28.6 million population of Malaysia. The country has provisions recognizing customary land rights and customary law (either by law or common law, depending on the islands), but that generally lack implementation.<br>International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf;2017;
MDV;Asia;Southern Asia;Maldives;30065.9551;No data;;No data;;;No data;No data;;No data;;2017;
MLI;Africa;Western Africa;Mali;125047324.7;89.1%;(Liz Alden Wily, 2015);80.1-100%;0;(Liz Alden Wily, 2015);0;89.1%;(Liz Alden Wily, 2015);80.1-100%;Total community lands estimated on basis of excluding TPA, urban, private rural lands and rural public service land. Reduction of TPA area by 1% to account for TPA known to exist in community lands.<br>Law recognizes customary lands as occupied and used (Land Code 2000, Art. 43-46) but state owns all unregistered land (Art. 28), property exists through issue of statutory title (titre foncier) and rural registration is focused on issue of titles or leases to rice or other farmers in arable development zones (>5% of country).<br>Informal deeds (Decision de concession rurale) widely used to transfer customary peri-urban lands to developers. As collective lands cannot be registered (Art. 46), community possession of 80% of the country is insecure, demonstrated as vulnerable to reallocation by the state.<br>Legal commitment for 703 communes to record customary rights excludes pastoral lands and application minimal so far.<br>Customary rights ranked overall as insecure despite legal acknowledgement as lawful occupation and use rights.;2017;
